Source,Location,Borough,Activity,Date,Start_Time,Price
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-01-05,20:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-01-06,18:15,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-01-09,11:45,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-01-10,17:00,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-01-11,17:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-01-13,18:15,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-01-16,11:45,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-01-17,16:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-01-18,17:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-01-19,20:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-01-20,18:15,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-01-23,11:45,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-01-24,17:00,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-01-25,17:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-01-27,18:15,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-01-30,11:45,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-02-01,17:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-02-02,20:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-02-03,18:15,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-02-06,11:45,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-02-08,16:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-02-10,18:15,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-02-13,11:45,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-02-14,09:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-02-15,17:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-02-16,20:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-02-17,18:15,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-02-20,11:45,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-02-21,18:15,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-02-23,19:30,Day Pass ($15)
McGill,McGill Athletics (Gyms 1/2),Downtown,Pick-Up Basketball,2026-02-24,18:15,Day Pass ($15)
McGill,McGill Athletics (Gyms 3/4),Downtown,Pick-Up Basketball,2026-02-27,11:45,Day Pass ($15)
